001002a8 TerminatedCString /lib64/ld-linux-x86-64.so.2
0012f6ab string  Usage:  futility %s <--vblock|--verify> <file> [OPTIONS]  For '--vblock <file>', required OPTIONS are:    --keyblock <file>           Keyblock in .keyblock format   --signprivate <file>        Signing private key in .vbprivk format   --version <number>          Firmware version   --fv <file>                 Firmware volume to sign   --kernelkey <file>          Kernel subkey in .vbpubk format  optional OPTIONS are:   --flags <number>            Preamble flags (defaults to 0)  For '--verify <file>', required OPTIONS are:    --signpubkey <file>         Signing public key in .vbpubk format   --fv <file>                 Firmware volume to verify  For '--verify <file>', optional OPTIONS are:   --kernelkey <file>          Write the kernel subkey to this file  
0012f9a8 string FATAL: %s: Must specify output filename 
0012f9d1 string do_vblock
0012f9db string FATAL: %s: Must specify all keys 
0012f9fd string FATAL: %s: Must specify firmware volume 
0012fa26 string FATAL: %s: Error reading keyblock. 
0012fa4a string FATAL: %s: Error reading signing key. 
0012fa71 string FATAL: %s: Error reading kernel subkey. 
0012fa9a string FATAL: %s: Empty firmware volume file 
0012fac1 string FATAL: %s: Error calculating body signature 
0012faee string FATAL: %s: Error creating preamble. 
0012fb13 string FATAL: %s: Can't open output file %s 
0012fb39 string FATAL: %s: Can't write output file %s 
0012fb60 string FATAL: %s: Must specify filename, signpubkey, and fv 
0012fb96 string do_verify
0012fba0 string Error unpacking signpubkey. 
0012fbbd string FATAL: %s: Error reading input file 
0012fbe2 string FATAL: %s: Error reading firmware volume 
0012fc0c string FATAL: %s: Error verifying keyblock. 
0012fc32 string   Size:                %d 
0012fc4d string   Flags:               %d (ignored) 
0012fc72 string   Data key algorithm:  %d %s 
0012fc90 string   Data key version:    %d 
0012fcab string   Data key sha1sum:    %s 
0012fcc6 string Error parsing data key. 
0012fcdf string FATAL: %s: Error2 verifying preamble. 
0012fd06 string FATAL: %s: Error verifying firmware body. 
0012fd31 string FATAL: %s: Unable to write kernel subkey 
0012fd5b string Creates, signs, and verifies the kernel partition
0012fd8d string Only one mode can be specified 
0012fdad string Unknown architecture string: %s 
0012fdce string Invalid --minversion 
0012fde4 string Invalid --pad 
0012fdf3 string FATAL: %s: Missing required keyblock file. 
0012fe1f string do_vbutil_kernel
0012fe30 string FATAL: %s: Missing required signprivate file. 
0012fe5f string FATAL: %s: Missing required config file. 
0012fe89 string Reading %s 
0012fe95 string FATAL: %s: Error reading config file. 
0012febc string FATAL: %s: Missing required bootloader file. 
0012feea string FATAL: %s: Error reading bootloader file. 
0012ff15 string  bootloader file size=%#x 
0012ff30 string FATAL: %s: Missing required vmlinuz file. 
0012ff5b string FATAL: %s: Error reading vmlinuz file. 
0012ff83 string  vmlinuz file size=%#x 
0012ff9b string FATAL: %s: Empty vmlinuz file 
0012ffba string FATAL: %s: Unable to create kernel blob 
0012ffe3 string FATAL: %s: Unable to sign kernel blob 
0013000a string FATAL: %s: Missing previously packed blob. 
00130036 string FATAL: %s: %s is not a kernel blob 
0013005a string FATAL: %s: Unable to unpack kernel partition 
00130088 string FATAL: %s: Unable to update config 
001300ac string FATAL: %s: Error reading public key. 
001300d2 string USE: vbutil_kernel --get-vmlinuz <file> --vmlinuz-out <file> 
00130110 string FATAL: %s: Vmlinuz header not signed! 
00130137 string You must specify a mode: --pack, --repack, --verify, or --get-vmlinuz 
0013017e string get-vmlinuz
00130192 string minversion
0013019d string vmlinuz-out
001301a9 string FATAL: %s: Unable to stat %s: %s 
001301cb string ReadOldKPartFromFileOrDie
001301e5 string %s size is %#x 
001301f5 string FATAL: %s: %s is too small to be a valid kernel blob 
0013022b string FATAL: %s: Unable to open file %s: %s 
00130252 string FATAL: %s: Unable to read entirety of %s: %s 
00130280 string beats me why
00130291 string Wraps RSA keys with vboot headers
001302b3 string FATAL: %s: Unknown option 
001302ce string do_vbutil_key
001302dc string FATAL: %s: Invalid --version 
001302fa string FATAL: %s: Invalid --algorithm 
0013031a string copyto
00130321 string  Usage:  futility %s --pack <outfile> [PARAMETERS]    Required parameters:     --key <infile>              RSA key file (.keyb or .pem)     --version <number>          Key version number (required for .keyb,                                   ignored for .pem)     --algorithm <number>        Signing algorithm to use with key: 
00130469 string                                   %d = (%s) 
00130496 string  OR  Usage:  futility %s --unpack <infile>    Optional parameters:     --copyto <file>             Write a copy of the key to this file.  
00130521 string vbutil_key: Must specify --in and --out 
0013054a string vbutil_key: Error writing key. 
0013056a string FATAL: %s: Unable to parse either .keyb or .pem from %s 
001305a3 string do_pack
001305ab string Need file to unpack 
001305c0 string Public Key file:   %s 
001305d7 string Algorithm:         %u %s 
001305f1 string Key Version:       %u 
00130608 string Key sha1sum:       %s 
0013061f string Private Key file:  %s 
00130636 string vbutil_key: Error writing key copy 
0013065a string FATAL: %s: Unable to parse either .vbpubk or vbprivk from %s 
00130698 string do_unpack
001306a2 string vbutil_keyblock
001306b2 string Creates, signs, and verifies a keyblock
001306da string Invalid --pem_algorithm 
001306f3 string Only one of --signprivate or --signprivate_pem must be specified 
00130735 string --pem_algorithm must be used with --signprivate_pem 
0013076a string --externalsigner must be used with --signprivate_pem 
001307a0 string signprivate_pem
001307b0 string pem_algorithm
001307be string externalsigner
001307cd string vbutil_keyblock: Must specify output filename. 
001307fd string vbutil_keyblock: Must specify data public key. 
0013082d string vbutil_keyblock: Error reading data key. 
00130857 string vbutil_keyblock: Invalid --pem_algorithm %lu 
00130885 string vbutil_keyblock: Error reading signing key. 
001308b2 string vbutil_keyblock: Error writing keyblock. 
001308dc string vbutil_keyblock: Must specify filename 
00130904 string vbutil_keyblock: Error reading keyblock. 
0013092e string vbutil_keyblock: signpubkey provided but keyblock is not signed. 
00130970 string vbutil_keyblock: Error reading signpubkey. 
0013099c string vbutil_keyblock: Error verifying keyblock. 
001309c8 string Keyblock file:        %s 
001309e2 string Signature             %s 
001309fc string Flags:                %u 
00130a16 string Data key algorithm:   %u %s 
00130a33 string Data key version:     %u 
00130a4d string Data key sha1sum:     %s 
00130a67 string vbutil_keyblock: error writing public key 
00130a92 string BIOS:                    %s 
00130aaf string ft_show_bios
00130abc string showing FMAP area %d (%s), offset=0x%08x len=0x%08x 
00130af1 string ft_sign_bios
00130afe string CBFS found in area %s 
00130b15 string CBFS not found in area %s 
00130b30 string GBB header:              %s <invalid> 
00130b57 string GBB header:              %s 
00130b74 string   Version:               %d.%d 
00130b94 string   Flags:                 0x%08x 
00130bb5 string   Regions:                 offset       size 
00130be3 string     hwid                 0x%08x   0x%08x 
00130c0d string     bmpvf                0x%08x   0x%08x 
00130c37 string     rootkey              0x%08x   0x%08x 
00130c61 string     recovery_key         0x%08x   0x%08x 
00130c8b string   Size:                  0x%08x / 0x%08x%s 
00130cb7 string   (not enough)
00130cc6 string GBB header is invalid, ignoring content 
00130cef string GBB content: 
00130cfd string   HWID:                  %s 
00130d1a string      digest:             
00130d34 string   Root Key: 
00130d41 string   Root Key:              <invalid> 
00130d65 string   Recovery Key: 
00130d76 string   Recovery Key:          <invalid> 
00130d9a string FW_MAIN_A
00130da4 string FW_MAIN_B
00130dae string VBLOCK_A
00130db7 string VBLOCK_B
00130dc0 string fmap_limit_area
00130dd0 string %.*s %#x + %#x > %#x 
00130de6 string Firmware body:           %s <invalid> 
00130e0d string Firmware body:           %s 
00130e2a string   Offset:                0x%08x 
00130e4b string   Size:                  0x%08x 
00130e6c string prepare_slot
00130e79 string Preparing areas: %s and %s 
00130e95 string ERROR: %s: %s area not found in FMAP 
00130ebb string ERROR: %s: %s size is incorrect. 
00130edd string WARNING: %s: %s does not contain CBFS. Trying to sign entire area. 
00130f21 string WARNING: %s: %s keyblock is invalid. 
00130f47 string WARNING: %s: %s public key is invalid. 
00130f6f string WARNING: %s: %s data key is invalid. Failed to parse. 
00130fa6 string ERROR: %s: %s is invalid. Keyblock and preamble do not fit. 
00130fe3 string WARNING: %s: %s preamble is invalid. 
00131009 string ERROR: %s: %s says the firmware is larger than we have. 
00131042 string Something's wrong. Not changing anything 
0013106c string INFO: %s: BIOS image does not have %s. Signing only %s 
001310a4 string sign_bios_at_end
001310b5 string ERROR: %s: Error calculating body signature 
001310e2 string write_new_preamble
001310f5 string ERROR: %s: Error creating firmware preamble. 
00131123 string ERROR: %s: Keyblock and preamble do not fit in VBLOCK. 
0013115b string %s/vblock_%s.%s
0013116b string LOEM args produce bogus filename 
0013118d string Can't open %s for writing: %s 
001311ac string Can't write to %s: %s 
001311c3 string Failed closing loem output: %s 
001311e3 string  Valid file types are:  
001311fc string   %-20s%s 
00131207 string Can't stat input file: %s 
00131222 string Don't know how to show %s (type %s) 
00131247 string Don't know how to sign %s (type %s) 
0013126c string unknown
00131274 string not something we know about
00131290 string Chrome OS BIOS image
001312a5 string fw_pre
001312ac string firmware preamble (VBLOCK_A/B)
001312cb string kernel preamble/partition
001312e5 string keyblock (signed public key)
00131302 string vb1 packed public key (.vbpubk)
00131322 string vb1 private key (.vbprivk)
0013133d string pubkey21
00131346 string vb21 public key (.vbpubk2)
00131361 string prikey21
0013136a string vb21 private key (.vbprik2)
00131386 string RSA private key (.pem)
0013139d string fwblob
001313a4 string raw firmware blob (FW_MAIN_A/B)
001313c4 string raw linux kernel
001313d5 string disk_img
001313de string chromiumos disk image
001313f4 string RW device image
00131404 string USB-PD charger image (v1.0)
00131420 string ft_show_rwsig
0013142e string name %s len 0x%08x (%d) 
00131447 string Looking for signature at 0x0 
00131465 string No data available to verify 
00131482 string Found an FMAP! 
00131492 string KEY_RO
00131499 string SIG_RW
001314a0 string No SIG_RW in FMAP. 
001314b4 string Looking for signature at %#tx (%#x) 
001314df string No EC_RW in FMAP. 
001314f2 string Looking for signature at %#x 
00131510 string File is too small 
00131523 string No public key available to verify with 
0013154b string Can't unpack pubkey 
00131560 string Invalid signature data_size: bigger than total area size. 
0013159b string Signature verification failed 
001315ba string Padding verification failed 
001315d7 string Signature verification succeeded. 
001315fa string ft_sign_rwsig
00131608 string name %s len  0x%08x (%d) 
00131622 string Looking for old signature at %#x 
00131644 string Can't find a valid signature 
00131662 string Found sig: data_size is %#x (%d) 
00131684 string Unable to sign data (error 0x%08x) 
001316a8 string Private key not provided. Copying previous signature 
001316de string Previous signature not found. 
001316fd string New sig is too large (%d > %d) 
0013171d string Replacing old signature with new one 
00131743 string Writing %s (size=%d) 
00131759 string EC_RW.bin
00131763 string Unable to write sig (error 0x%08x, if that helps) 
00131796 string No KEY_RO in FMAP. 
001317aa string   Vboot API:           2.1 
001317c6 string   Desc:                "%s" 
001317e3 string   Signature Algorithm: %d %s 
00131801 string   Hash Algorithm:      %d %s 
0013181f string   Total size:          %#x (%d) 
00131858 string   Data size:           %#x (%d) 
00131879 string ft_sign_usbpd1
00131888 string name %s len  %#.8x (%d) 
001318a1 string Unable to read keypair from %s 
001318c1 string The RW image is too small to hold the signature (0x%08x < %08x) 
00131902 string rw_size   => 0x%08x 
00131917 string rw_offset => 0x%08x 
0013192c string sig_size     0x%08x 
00131941 string sig_offset   0x%08x 
0013195a string Unable to sign data (error 0x%08x, if that helps) 
0013198d string ERROR: sig size is %d bytes, not %d as expected. 
001319bf string keyb_size is %#x (%d): 
001319d7 string The RO image is too small to hold the public key (0x%08x < %08x) 
00131a19 string len 0x%08x ro_size 0x%08x ro_offset 0x%08x 
00131a45 string pub_size 0x%08x pub_offset 0x%08x nbytes 0x%08x 
00131a76 string pub_pad 0x%08x 
00131a86 string ft_show_usbpd1
00131a95 string Can't find the public key 
00131ab0 string This doesn't appear to be a complete usbpd1 image 
00131ae3 string parse_size_opts
00131af3 string ro_size     0x%08x 
00131b07 string ro_offset   0x%08x 
00131b1b string rw_size     0x%08x 
00131b2f string rw_offset   0x%08x 
00131b43 string size/offset values are bogus 
00131b61 string USB-PD v1 image:       %s 
00131b7c string   Algorithm:           %s %s 
00131b9a string   Key sha1sum:         
00131bb2 string DEBUG: %s: 
00131bbe string <none>%s
00131bcd string <invalid>
00131bd7 string futil_copy_file_or_die
00131bee string %s -> %s 
00131bf8 string Couldn't fork /bin/cp process: %s 
00131c1b string /bin/cp
00131c23 string Child couldn't exec /bin/cp: %s 
00131c44 string Couldn't wait for /bin/cp process to exit: %s 
00131c73 string /bin/cp exited with status %d 
00131c92 string /bin/cp was killed with signal %d 
00131cb5 string I have no idea what just happened 
00131cd8 string futil_open_file
00131ce8 string open RW %s 
00131cf4 string open RO %s 
00131d00 string Can't open %s for reading: %s 
00131d1f string Error when closing ifd: %s 
00131d3b string Image size is unreasonable 
00131d57 string Can't mmap %s file: %s 
00131d6f string input
00131d75 string msync failed: %s 
00131d87 string Can't munmap pointer: %s 
00131da1 string EFI PART
00131daa string CHROMEOS
00131db3 string Invalid DIGEST "%s" 
00131dc8 string ReadConfigFile
00131dd7 string  config file size=%#x 
00131dee string Config file %s is too large (>= %d bytes) 
00131e19 string Trying to update some other blob 
00131e3b string unpack_kernel_partition
00131e53 string Keyblock is %#x bytes 
00131e6a string keyblock_size advances past %u byte padding 
00131e97 string Preamble is %#x bytes 
00131eae string preamble_size advances past %u byte padding 
00131edb string  kernel_version = %d 
00131ef1 string  bootloader_address = 0x%lx 
00131f0e string  bootloader_size = %#x 
00131f26 string  kern_blob_size = %#x 
00131f3d string  flags = %#x 
00131f4b string  vmlinuz_header_address = 0x%lx 
00131f6c string  vmlinuz_header_size = %#x 
00131f88 string kernel blob is at offset %#x 
00131fa6 string kernel body size %u exceeds partition end 
00131fd1 string WriteSomeParts
00131fe0 string writing %s with %#x, %#x 
00131ffa string Can't open output file %s: %s 
00132019 string Can't write output file %s: %s 
00132039 string Error unpacking signing key. 
00132057 string   Signature:           %s 
00132072 string   Size:                %#x 
0013208e string   Flags:               %u 
001320a9 string   Data key algorithm:  %u %s 
001320c7 string   Data key version:    %u 
001320e2 string Can't open keyblock file %s: %s 
00132103 string Can't write keyblock file %s: %s 
00132125 string Data key version %u < minimum %u. 
00132148 string Error verifying preamble. 
00132163 string   Header version:      %u.%u 
00132181 string   Kernel version:      %u 
0013219c string   Body load address:   0x%lx 
001321ba string   Body size:           %#x 
001321d6 string   Bootloader address:  0x%lx 
001321f4 string   Bootloader size:     %#x 
00132210 string   Vmlinuz header address: 0x%lx 
00132231 string   Vmlinuz header size:    %#x 
00132250 string   Flags          :       %#x 
0013226e string Kernel version %u is lower than minimum %u. 
0013229b string CreateKernelBlob
001322ac string g_kernel_blob_size  %#x 
001322c5 string g_kernel_size       %#x ofs %#x 
001322e6 string g_config_size       %#x ofs %#x 
00132307 string g_param_size        %#x ofs %#x 
00132328 string g_bootloader_size   %#x ofs %#x 
00132349 string g_ondisk_bootloader_addr   0x%lx 
0013236b string g_vmlinuz_header_size %#x ofs %#x 
0013238e string g_ondisk_vmlinuz_header_addr   0x%lx 
001323b4 string end of kern_blob at kern_blob+%#x 
001323d7 string Error picking apart kernel file. 
001323f9 string UnpackKernelBlob
0013240a string vmlinuz_header_size     = %#x 
00132429 string vmlinuz_header_ofs      = %#x 
00132448 string bootloader_size     = %#x 
00132463 string bootloader_ofs      = %#x 
0013247e string param_ofs           = %#x 
00132499 string config_ofs          = %#x 
001324b4 string kernel_size         = %#x 
001324cf string KernelSize
001324da string Not a linux kernel image 
001324f4 string Malformed kernel 
00132506 string PickApartVmlinuz
00132517 string  kernel16_start=%#x 
0013252c string  kernel16_size=%#x 
00132540 string  cmdline_addr=%#x 
00132553 string  version=%#x 
00132561 string  kernel_alignment=%#x 
00132578 string  relocatable_kernel=%#x 
00132591 string  kernel32_start=%#x 
001325a6 string  kernel32_size=%#x 
001325ba string   Version:             0x%08x 
001325d9 string Private key file:      %s 
001325f4 string FATAL: %s: No RSA key found in buffer 
0013261b string ft_show_pem
00132627 string %s Key file:      %s 
0013263d string Private
00132645 string Public
0013264c string   Key length:          %d 
00132667 string   Key sha1sum:         <error>
00132686 string WARNING: %s: could not read fmap from image, r=%d, falling back to read from rom 
001326d8 string flashrom_read_image
001326ec string ERROR: %s: could not read fmap from rom, r=%d 
0013271b string ERROR: %s: could not include region = '%s' 
00132747 string <sys-flash>
00132753 string ERROR: %s: zero sized flash detected 
00132779 string flashrom_write_image
0013278e string ERROR: %s: diff_image->size != image->size
001327b9 string  2>/dev/null | grep "write protect is "
001327e1 string flashrom --wp-status -p %s %s
001327ff string flashrom_get_wp
0013280f string wp-status: %s 
0013281e string write protect is enabled
00132837 string write protect is disabled
00132851 string ERROR: %s: Cannot identify type of path: %s 
0013287e string archive_open
0013288b string ERROR: %s: Internal error: allocation failure. 
001328bb string Found directory, use fallback (fs) driver: %s 
001328ea string ERROR: %s: Found a file, but no drivers were selected: %s 
00132925 string ERROR: %s: Failed to open archive: %s 
0013294c string archive_fallback_has_entry
00132967 string Checking %s 
00132974 string archive_fallback_get_path
0013298e string archive_fallback_read_file
001329a9 string WARNING: %s: Unable to stat %s: %s 
001329cd string archive_fallback_write_file
001329e9 string Writing %s 
001329f5 string mkdir -p %s
00132a01 string WARNING: %s: Unable to set times on %s: %s 
00132a2d string INFO: %s: Copying: %s 
00132a44 string archive_copy_callback
00132a5a string ERROR: %s: Failed reading: %s 
00132a79 string result=%d 
00132a84 string ERROR: %s: Failed to get device identity.  Run "crosid -v" for explanation. 
00132ad1 string manifest_find_model
00132ae5 string ERROR: %s: Unsupported model: '%s'. 
00132b0a string The firmware manifest key '%s' is not present in this updater archive. The known keys to this updater archive are: 
00132b7e string Perhaps you are trying to use an updater archive for the wrong board, or designed for an older OS version before this model was supported. 
00132c0a string Hint: Read the FIRMWARE_MANIFEST_KEY from the output of the crosid command. 
00132c57 string model_apply_custom_label
00132c70 string Find custom label patches by signature ID: '%s'. 
00132ca2 string WARNING: %s: No VPD '%s' set for custom label - use default keys. 
00132ce5 string ERROR: %s: No keys found for signature_id: '%s' 
00132d16 string INFO: %s: Applied for custom label: %s 
00132d3e string new_manifest_from_archive
00132d58 string Try to build a manifest from *%s 
00132d7a string /setvars.sh
00132d86 string Try to build a manifest from %s 
00132da7 string signer_config.csv
00132db9 string Try to build a manifest from a */firmware folder 
00132deb string Try to build a manifest from a simple folder 
00132e19 string %d model(s) loaded. 
00132e2e string ERROR: %s: No valid configurations found from archive. 
00132e66 string ERROR: %s: Internal error: memory allocation error. 
00132eb1 string , %*s"patches": { "rootkey": "%s", "vblock_a": "%s", "vblock_b": "%s" }
00132ef9 string , %*s"signature_id": "%s"
00132f1c string apply_key_file
00132f2b string Loaded file: %s 
00132f3c string ERROR: %s: Failed applying %s to %s 
00132f61 string ERROR: %s: Cannot find GBB in image %s. 
00132f8a string change_gbb_rootkey
00132f9d string ERROR: %s: New root key (%u bytes) larger than GBB (%u bytes). 
00132fdd string ERROR: %s: Need section %s in image %s. 
00133006 string change_vblock
00133014 string ERROR: %s: '%s' is too small (%zu bytes) for vblock (%u bytes). 
00133055 string ERROR: %s: This version of futility was compiled without libcrosid (perhaps compiled outside of the Chrome OS build system?) and the update command is not fully supported.  Either compile from the Chrome OS build, or pass --model to manually specify the machine model. 
00133163 string get_manifest_key
00133174 string whitelabel_tag
00133183 string WARNING: %s: No VPD '%s' set for custom label. Use model name '%s' as default. 
001331d3 string resolve_signature_id
001331e8 string %s-%s
001331ee string customization_id
001331ff string vpd -g %s -f %s 2>/dev/null
0013321b string vpd_get_value
00133229 string vblock_A
00133232 string vblock_B
0013323b string find_patches_for_model
00133252 string keyset/
0013325a string manifest_scan_entries
00133270 string Found model <%s> setvars: %s 
0013328e string ERROR: %s: Invalid setvars file: %s 
001332b3 string Ignore non-exist EC image: %s 
001332d2 string Ignore non-exist PD image: %s 
001332f1 string model_config_parse_setvars_file
00133316 string ${MODEL_DIR}
00133323 string %s/%s%s
0013332b string models
00133332 string IMAGE_MAIN
0013333d string IMAGE_EC
00133346 string IMAGE_PD
0013334f string SIGNATURE_ID
0013335c string sig-id-in
00133366 string ERROR: %s: Internal error: failed to allocate buffer. 
0013339d string manifest_add_model
001333b0 string manifest_from_signer_config
001333cc string ERROR: %s: Invalid %s: missing header. 
001333f4 string %m[^,],%m[^,],%*[^,],%m[^,]
00133410 string ERROR: %s: Invalid entry(%s): %s 
00133432 string Found custom-label: %s 
0013344a string ERROR: %s: Invalid CL-model: %s 
0013346b string sig-id-in-customization-id
00133486 string image-%m[^.].bin%n
00133499 string manifest_scan_raw_entries
001334b3 string Found model <%s>: %s 
001334c9 string %s/ec.bin
001334d3 string image.bin
001334dd string bios.bin
001334e6 string pd.bin
001334ed string default
001334f5 string %*s"%s": { "versions": { "ro": "%s", "rw": "%s" },
00133528 string ERROR: %s: Failed to patch images by model: %s 
00133558 string print_json_image
00133586 string "recovery": "%s" },
0013359a string  %*s"image": "%s" }
001335ae string <Invalid key>
001335bc string Enlarge firmware image by flash size.
001335e2 string Minimum compatible platform version (also known as Board ID version).
00133628 string Unlock ME for safe lockdown.
00133645 string b/35568719; only lock management engine in board-postinst.
00133680 string b/70682365; preserve UEFI SMM store without dedicated FMAP section.
001336c4 string allow_empty_custom_label_tag
001336e1 string chromium/906962; allow devices without custom label tags set to use default keys.
00133733 string chromium/1024401; recover EC by partial RO update.
00133766 string chromium/146876241; override signature id for devices shipped with different root key.
001337bd string b/165590952; Preserve ME during firmware update except for factory update or developer images.
0013381c string Do not check platform name.
00133838 string Do not verify when flashing.
00133855 string extra_retries
00133863 string Extra retries when writing to system firmware.
00133892 string external_flashrom
001338a4 string Use external flashrom to access the system firmware.
001338d9 string updater_get_model_quirks
001338f2 string Cannot identify system for default quirks. 
0013391e string Found system default quirks: %s 
0013393f string updater_quirks
0013394e string updater_get_cbfs_quirks
00133966 string Missing region: %s 
0013397a string Cannot find entry: %s 
00133991 string Found string '%s' but not a file. 
001339b4 string Found %s from CBFS %s 
001339cb string ERROR: %s: Failed to read [%s] from CBFS [%s]. 
001339fb string Got quirks (%u bytes): %s 
00133a16 string 9a1f2cc319e2f2e61237dc51125e35ddd4d20984
00133a3f string phaser360
00133a49 string phaser360-dopefish
00133a5c string WARNING: %s: A Phaser360 with Dopefish rootkey - override signature_id to '%s'. 
00133aad string quirk_override_signature_id
00133ac9 string quirk_enlarge_image
00133add string Resize image from %u to %u. 
00133afd string ERROR: %s: Cannot open temporary file %s. 
00133b28 string quirk_min_platform_version
00133b43 string Minimum required version=%d, current platform version=%d 
00133b7d string ERROR: %s: Need platform version >= %d (current is %d). This firmware will only run on newer systems. 
00133be4 string SI_DESC
00133bec string quirk_unlock_wilco_me_for_update
00133c0d string Target ME not locked. 
00133c24 string INFO: %s: Changed Flash Master Values to unlocked. 
00133c58 string quirk_unlock_me_for_update
00133c73 string RW_LEGACY
00133c7d string quirk_eve_smm_store
00133c91 string cbfstool failure or SMM store not available. Don't preserve. 
00133ccf string cbfstool "%s" remove -r %s -n "%s" 2>/dev/null; cbfstool "%s" add -r %s -n "%s" -f "%s"  -t raw -b 0x1bf000
00133d3b string INFO: %s: EC image does not have section '%s'. 
00133d6b string quirk_ec_partial_recovery
00133d85 string WARNING: %s: EC Software Sync detected, will only update EC RO. The contents in EC RW will be updated after reboot. 
00133dfa string INFO: %s: EC RO and RW should be updated after reboot. 
00133e32 string WARNING: %s: Update EC RO+RW and may cause unexpected error later. See http://crbug.com/782427#c4 for more information. 
00133eab string vdat_flags
00133eb6 string INFO: %s: EC Software Sync is not available. 
00133ee4 string is_ec_software_sync_enabled
00133f00 string WARNING: %s: Invalid AP firmware image. 
00133f29 string INFO: %s: EC Software Sync will be disabled in next boot. 
00133f64 string ecfw_act
00133f73 string ERROR: %s: EC image has invalid section '%s'. 
00133fa2 string ec_ro_software_sync
00133fb6 string COREBOOT
00133fc4 string ecro.hash
00133fce string INFO: %s: No valid EC RO for software sync in AP firmware. 
0013400a string ERROR: %s: Failed to read EC RO. 
0013402c string ERROR: %s: The EC RO contents specified from AP (--image) and EC (--ec_image) firmware images are different, cannot update by EC RO software sync. 
001340c0 string try_ro_sync
001340cc string WARNING: %s: Factory update. Not preserving ME. 
001340fd string quirk_preserve_me
0013410f string WARNING: %s: Update using a non-archive image. Not preserving ME. 
00134152 string WARNING: %s: Disabled checking platform. You are on your own. 
00134191 string quirk_no_check_platform
001341a9 string WARNING: %s: Disabled verifying flashed contents. You are on your own. 
001341f1 string quirk_no_verify
00134201 string Google_Whirlwind.
00134213 string Google_Arkham.
00134222 string Google_Storm.
00134230 string Google_Gale.
0013423d string Google_Chell.
0013424b string Google_Lars.
00134258 string Google_Sentry.
00134267 string Google_Asuka.
00134275 string Google_Caroline.
00134286 string Google_Cave.
00134293 string Google_Eve.
0013429f string unlock_me_for_update,eve_smm_store
001342c2 string Google_Sarien.
001342d1 string Google_Arcada.
001342e0 string Google_Drallion.
001342f1 string Google_Poppy.
001342ff string min_platform_version=6
00134316 string Google_Scarlet.
00134326 string min_platform_version=1
0013433d string Google_Trogdor.
0013434d string min_platform_version=2
00134364 string Google_Hana.
00134371 string Google_Reks.
0013437e string Google_Relm.
0013438b string Google_Wizpig.
0013439a string Google_Enguarde.
001343ab string Google_Expresso.
001343bc string Google_Veyron_Jaq.
001343cf string Google_Veyron_Jerry.
001343e4 string Google_Veyron_Mighty.
001343fa string Google_Phaser.
00134409 string cbfstool '%s' print -r %s 2>/dev/null | grep -q '^%s '
00134440 string cbfs_file_exists
00134451 string cbfstool "%s" extract -r %s -n "%s" -f "%s" 2>&1
00134482 string cbfs_extract_file
00134494 string ERROR: %s: No file name given 
001344b3 string load_firmware_image
001344c7 string Load image file from %s... 
001344e3 string ERROR: %s: Does not exist: %s 
00134502 string ERROR: %s: Failed to load %s 
00134520 string ERROR: %s: Failed writing %s firmware image (%u bytes) to %s. 
0013455f string get_firmware_image_temp_file
00134581 string preserve_firmware_section
0013459b string Cannot find section %.*s: from=%p, to=%p 
001345c5 string WARNING: %s: Section %.*s is truncated after updated. 
001345fc string ERROR: %s: Cannot find GBB in image: %s. 
00134626 string find_gbb
0013462f string host_shell
0013463a string Execution error for %s. 
00134653 string Execution failure with exit code %d: %s 
0013467c string SERVOD_NAME
00134688 string dut-control -o servo_type 2>/dev/null
001346ae string ccd_cpu_fw_spi
001346bd string dut-control -o serialname 2>/dev/null
001346e3 string host_detect_servo
001346f5 string Select servod using port: %s or name: %s 
0013471f string with_servo_micro
00134730 string dut-control -o servo_micro_serialname 2>/dev/null
0013476c string dut-control -o c2d2_serialname 2>/dev/null
00134797 string with_ccd
001347a0 string dut-control -o ccd_serialname 2>/dev/null
001347ca string Servo SN=%s (serial cmd: %s) 
001347e8 string ERROR: %s: Failed to get servo type. Check servod. 
0013481c string ERROR: %s: Failed to get serial at servo port %s. 
0013484f string Selected Servo Micro. 
00134866 string raiden_debug_spi
00134877 string Selected C2D2. 
00134887 string ccd_cr50
00134890 string ccd_gsc
00134898 string Selected CCD. 
001348a7 string raiden_debug_spi:target=AP,custom_rst=true
001348d2 string Selected Servo V2. 
001348e6 string ft2232_spi:type=google-servo-v2
00134906 string %s%cserial=%s
00134914 string Servo programmer: %s 
0013492a string INFO: %s: %s 
00134938 string load_system_firmware
0013494d string WARNING: %s: Retry reading firmware (%d/%d)... 
0013497d string write_system_firmware
00134993 string WARNING: %s: Retry writing firmware (%d/%d)... 
001349c3 string ERROR: %s: Failed to create new temp file in %s 
001349f4 string create_temp_file
00134a05 string ERROR: %s: Failed to allocate buffer for new temp file. 
00134a3e string Created new temporary file: %s. 
00134a5f string remove_all_temp_files
00134a75 string Remove temporary file: %s. 
00134a91 string WARNING: %s: No GBB found in image. 
00134ab6 string get_firmware_rootkey_hash
00134ad0 string WARNING: %s: No rootkey found in image. 
00134af9 string parse_firmware_image
00134b0e string Image size: %d 
00134b1e string ERROR: %s: Invalid image file (missing FMAP): %s 
00134b50 string RO_FRID
00134b62 string RW_FWID_B
00134b6c string RW_FWID
00134b74 string ERROR: %s: Unsupported VBoot firmware (no RW ID): %s 
00134baa string WARNING: %s: No valid section '%s', missing version info. 
